[17:40:16] 📍 Loaded 563 district venues
[17:40:16] 🚀 DISTRICT SCRAPER STARTED
[17:40:24] ⚠ 3896 status 403 Forbidden
[17:40:24] ⚠ 9285 status 403 Forbidden
[17:40:24] ⚠ 1037517 status 403 Forbidden
[17:40:24] ⚠ 1037516 status 403 Forbidden
[17:40:24] ⚠ 1088811 status 403 Forbidden
[17:40:24] ⚠ 1012280 status 403 Forbidden
[17:40:24] ⚠ 1040181 status 403 Forbidden
[17:40:24] ⚠ 7293 status 403 Forbidden
[17:40:24] ⚠ 16523 status 403 Forbidden
[17:40:24] ⚠ 4889 status 403 Forbidden
[17:40:24] ⚠ 1047917 status 403 Forbidden
[17:40:24] ⚠ 1020338 status 403 Forbidden
[17:40:24] ⚠ 14354 status 403 Forbidden
[17:40:24] ⚠ 6119 status 403 Forbidden
[17:40:24] ⚠ 1041683 status 403 Forbidden
[17:40:24] ⚠ 4910 status 403 Forbidden
[17:40:24] ⚠ 17483 status 403 Forbidden
[17:40:24] ⚠ 4919 status 403 Forbidden
[17:40:24] ⚠ 1050804 status 403 Forbidden
[17:40:24] ⚠ 9661 status 403 Forbidden
[17:40:24] ⚠ 29954 status 403 Forbidden
[17:40:24] ⚠ 9784 status 403 Forbidden
[17:40:25] ⚠ 4163 status 403 Forbidden
[17:40:25] ⚠ 58822 status 403 Forbidden
[17:40:25] ⚠ 7312 status 403 Forbidden
[17:40:25] ⚠ 28863 status 403 Forbidden
[17:40:25] ⚠ 1028118 status 403 Forbidden
[17:40:25] ⚠ 9044 status 403 Forbidden
[17:40:25] ⚠ 4904 status 403 Forbidden
[17:40:25] ⚠ 7856 status 403 Forbidden
[17:40:25] ⚠ 4340 status 403 Forbidden
[17:40:25] ⚠ 6096 status 403 Forbidden
[17:40:25] ⚠ 4379 status 403 Forbidden
[17:40:25] ⚠ 1050768 status 403 Forbidden
[17:40:25] ⚠ 1088778 status 403 Forbidden
[17:40:25] ⚠ 5080 status 403 Forbidden
[17:40:25] ⚠ 9131 status 403 Forbidden
[17:40:25] ⚠ 4255 status 403 Forbidden
[17:40:25] ⚠ 1042822 status 403 Forbidden
[17:40:25] ⚠ 1019687 status 403 Forbidden
[17:40:25] ⚠ 27432 status 403 Forbidden
[17:40:25] ⚠ 1041566 status 403 Forbidden
[17:40:25] ⚠ 7260 status 403 Forbidden
[17:40:25] ⚠ 4425 status 403 Forbidden
[17:40:25] ⚠ 1398 status 403 Forbidden
[17:40:25] ⚠ 5105 status 403 Forbidden
[17:40:25] ⚠ 1020350 status 403 Forbidden
[17:40:25] ⚠ 1026095 status 403 Forbidden
[17:40:25] ⚠ 7627 status 403 Forbidden
[17:40:25] ⚠ 19289 status 403 Forbidden
[17:40:25] ⚠ 1033524 status 403 Forbidden
[17:40:25] ⚠ 1054202 status 403 Forbidden
[17:40:25] ⚠ 1041495 status 403 Forbidden
[17:40:25] ⚠ 1039748 status 403 Forbidden
[17:40:25] ⚠ 30441 status 403 Forbidden
[17:40:25] ⚠ 1031639 status 403 Forbidden
[17:40:25] ⚠ 6079 status 403 Forbidden
[17:40:25] ⚠ 1014297 status 403 Forbidden
[17:40:25] ⚠ 1041211 status 403 Forbidden
[17:40:25] ⚠ 1041691 status 403 Forbidden
[17:40:25] ⚠ 9176 status 403 Forbidden
[17:40:25] ⚠ 1055117 status 403 Forbidden
[17:40:25] ⚠ 19294 status 403 Forbidden
[17:40:25] ⚠ 10268 status 403 Forbidden
[17:40:25] ⚠ 26729 status 403 Forbidden
[17:40:25] ⚠ 9497 status 403 Forbidden
[17:40:25] ⚠ 43960 status 403 Forbidden
[17:40:25] ⚠ 1009967 status 403 Forbidden
[17:40:25] ⚠ 24522 status 403 Forbidden
[17:40:25] ⚠ 1031640 status 403 Forbidden
[17:40:25] ⚠ 1039923 status 403 Forbidden
[17:40:25] ⚠ 7308 status 403 Forbidden
[17:40:25] ⚠ 1013662 status 403 Forbidden
[17:40:25] ⚠ 482 status 403 Forbidden
[17:40:25] ⚠ 54684 status 403 Forbidden
[17:40:25] ⚠ 29510 status 403 Forbidden
[17:40:25] ⚠ 33645 status 403 Forbidden
[17:40:25] ⚠ 9780 status 403 Forbidden
[17:40:25] ⚠ 1041684 status 403 Forbidden
[17:40:25] ⚠ 1066216 status 403 Forbidden
[17:40:25] ⚠ 984 status 403 Forbidden
[17:40:25] ⚠ 22884 status 403 Forbidden
[17:40:25] ⚠ 32811 status 403 Forbidden
[17:40:25] ⚠ 1056146 status 403 Forbidden
[17:40:25] ⚠ 12947 status 403 Forbidden
[17:40:25] ⚠ 1041729 status 403 Forbidden
[17:40:25] ⚠ 1041782 status 403 Forbidden
[17:40:25] ⚠ 9291 status 403 Forbidden
[17:40:25] ⚠ 1018796 status 403 Forbidden
[17:40:25] ⚠ 4881 status 403 Forbidden
[17:40:25] ⚠ 4714 status 403 Forbidden
[17:40:25] ⚠ 1030384 status 403 Forbidden
[17:40:25] ⚠ 9653 status 403 Forbidden
[17:40:25] ⚠ 1039863 status 403 Forbidden
[17:40:25] ⚠ 476 status 403 Forbidden
[17:40:25] ⚠ 9527 status 403 Forbidden
[17:40:25] ⚠ 1008441 status 403 Forbidden
[17:40:25] ⚠ 1089364 status 403 Forbidden
[17:40:25] ⚠ 24767 status 403 Forbidden
[17:40:25] ⚠ 6035 status 403 Forbidden
[17:40:25] ⚠ 5103 status 403 Forbidden
[17:40:25] ⚠ 1078620 status 403 Forbidden
[17:40:25] ⚠ 1075662 status 403 Forbidden
[17:40:25] ⚠ 1049289 status 403 Forbidden
[17:40:25] ⚠ 1065452 status 403 Forbidden
[17:40:25] ⚠ 15614 status 403 Forbidden
[17:40:25] ⚠ 1049288 status 403 Forbidden
[17:40:25] ⚠ 1019544 status 403 Forbidden
[17:40:25] ⚠ 1035939 status 403 Forbidden
[17:40:25] ⚠ 1054735 status 403 Forbidden
[17:40:25] ⚠ 14703 status 403 Forbidden
[17:40:25] ⚠ 1027244 status 403 Forbidden
[17:40:25] ⚠ 1004633 status 403 Forbidden
[17:40:25] ⚠ 3976 status 403 Forbidden
[17:40:25] ⚠ 1054736 status 403 Forbidden
[17:40:25] ⚠ 52682 status 403 Forbidden
[17:40:25] ⚠ 25008 status 403 Forbidden
[17:40:25] ⚠ 1041567 status 403 Forbidden
[17:40:25] ⚠ 5061 status 403 Forbidden
[17:40:25] ⚠ 3906 status 403 Forbidden
[17:40:25] ⚠ 27908 status 403 Forbidden
[17:40:25] ⚠ 31792 status 403 Forbidden
[17:40:25] ⚠ 62907 status 403 Forbidden
[17:40:25] ⚠ 26294 status 403 Forbidden
[17:40:25] ⚠ 1054730 status 403 Forbidden
[17:40:25] ⚠ 1092992 status 403 Forbidden
[17:40:25] ⚠ 1024041 status 403 Forbidden
[17:40:25] ⚠ 1056839 status 403 Forbidden
[17:40:25] ⚠ 1042215 status 403 Forbidden
[17:40:25] ⚠ 1032344 status 403 Forbidden
[17:40:25] ⚠ 38446 status 403 Forbidden
[17:40:25] ⚠ 1056846 status 403 Forbidden
[17:40:25] ⚠ 1009010 status 403 Forbidden
[17:40:25] ⚠ 49852 status 403 Forbidden
[17:40:25] ⚠ 6121 status 403 Forbidden
[17:40:25] ⚠ 1009117 status 403 Forbidden
[17:40:25] ⚠ 4976 status 403 Forbidden
[17:40:25] ⚠ 1059680 status 403 Forbidden
[17:40:25] ⚠ 1036955 status 403 Forbidden
[17:40:25] ⚠ 24880 status 403 Forbidden
[17:40:25] ⚠ 9292 status 403 Forbidden
[17:40:25] ⚠ 4124 status 403 Forbidden
[17:40:25] ⚠ 1068242 status 403 Forbidden
[17:40:25] ⚠ 1088219 status 403 Forbidden
[17:40:25] ⚠ 9169 status 403 Forbidden
[17:40:25] ⚠ 9041 status 403 Forbidden
[17:40:25] ⚠ 1020755 status 403 Forbidden
[17:40:25] ⚠ 1025576 status 403 Forbidden
[17:40:25] ⚠ 15526 status 403 Forbidden
[17:40:25] ⚠ 39874 status 403 Forbidden
[17:40:25] ⚠ 1039864 status 403 Forbidden
[17:40:25] ⚠ 9504 status 403 Forbidden
[17:40:25] ⚠ 4890 status 403 Forbidden
[17:40:25] ⚠ 9368 status 403 Forbidden
[17:40:25] ⚠ 1021629 status 403 Forbidden
[17:40:25] ⚠ 4038 status 403 Forbidden
[17:40:25] ⚠ 1054742 status 403 Forbidden
[17:40:25] ⚠ 1004635 status 403 Forbidden
[17:40:25] ⚠ 31788 status 403 Forbidden
[17:40:25] ⚠ 9100 status 403 Forbidden
[17:40:25] ⚠ 1082851 status 403 Forbidden
[17:40:25] ⚠ 24246 status 403 Forbidden
[17:40:25] ⚠ 56144 status 403 Forbidden
[17:40:25] ⚠ 10255 status 403 Forbidden
[17:40:25] ⚠ 1036114 status 403 Forbidden
[17:40:25] ⚠ 7504 status 403 Forbidden
[17:40:25] ⚠ 1013355 status 403 Forbidden
[17:40:25] ⚠ 1053536 status 403 Forbidden
[17:40:25] ⚠ 1012136 status 403 Forbidden
[17:40:25] ⚠ 10270 status 403 Forbidden
[17:40:25] ⚠ 1004634 status 403 Forbidden
[17:40:25] ⚠ 1053155 status 403 Forbidden
[17:40:25] ⚠ 24981 status 403 Forbidden
[17:40:25] ⚠ 1028879 status 403 Forbidden
[17:40:25] ⚠ 1011192 status 403 Forbidden
[17:40:25] ⚠ 1003803 status 403 Forbidden
[17:40:26] ⚠ 7511 status 403 Forbidden
[17:40:26] ⚠ 4174 status 403 Forbidden
[17:40:26] ✅ Fetched 325 venues with shows
[17:40:26] ✅ DONE | Shows=1984 | Movies=40
