[18:28:22] 📍 Loaded 563 district venues
[18:28:22] 🚀 DISTRICT SCRAPER STARTED
[18:28:25] ⚠ 1023626 status 403
[18:28:25] ⚠ 1033632 status 403
[18:28:25] ⚠ 1015291 status 403
[18:28:25] ⚠ 1039768 status 403
[18:28:25] ⚠ 1034186 status 403
[18:28:25] ⚠ 1039751 status 403
[18:28:25] ⚠ 1013208 status 403
[18:28:25] ⚠ 4042 status 403
[18:28:25] ⚠ 44966 status 403
[18:28:25] ⚠ 7747 status 403
[18:28:25] ⚠ 496 status 403
[18:28:25] ⚠ 4306 status 403
[18:28:25] ⚠ 24351 status 403
[18:28:25] ⚠ 4217 status 403
[18:28:25] ⚠ 1037520 status 403
[18:28:26] ⚠ 1088803 status 403
[18:28:26] ⚠ 7752 status 403
[18:28:26] ⚠ 1067686 status 403
[18:28:26] ⚠ 1039424 status 403
[18:28:26] ⚠ 52996 status 403
[18:28:26] ⚠ 31987 status 403
[18:28:26] ⚠ 1036961 status 403
[18:28:26] ⚠ 15527 status 403
[18:28:26] ⚠ 7222 status 403
[18:28:26] ⚠ 16791 status 403
[18:28:26] ⚠ 26401 status 403
[18:28:26] ⚠ 4332 status 403
[18:28:26] ⚠ 509 status 403
[18:28:26] ⚠ 1020190 status 403
[18:28:26] ⚠ 44366 status 403
[18:28:26] ⚠ 6093 status 403
[18:28:26] ⚠ 1003802 status 403
[18:28:26] ⚠ 9420 status 403
[18:28:26] ⚠ 1003773 status 403
[18:28:28] ⚠ 55466 status 403
[18:28:28] ⚠ 9194 status 403
[18:28:28] ⚠ 1032460 status 403
[18:28:28] ⚠ 25045 status 403
[18:28:28] ⚠ 7232 status 403
[18:28:28] ⚠ 26281 status 403
[18:28:28] ⚠ 1037527 status 403
[18:28:28] ⚠ 30784 status 403
[18:28:28] ⚠ 1016383 status 403
[18:28:28] ⚠ 1037491 status 403
[18:28:28] ⚠ 1003767 status 403
[18:28:28] ⚠ 55853 status 403
[18:28:28] ⚠ 1037503 status 403
[18:28:28] ⚠ 9246 status 403
[18:28:28] ⚠ 1029684 status 403
[18:28:28] ⚠ 1007282 status 403
[18:28:28] ⚠ 1041239 status 403
[18:28:28] ⚠ 25181 status 403
[18:28:28] ⚠ 18164 status 403
[18:28:28] ⚠ 1015975 status 403
[18:28:28] ⚠ 5182 status 403
[18:28:28] ⚠ 19513 status 403
[18:28:28] ⚠ 1035744 status 403
[18:28:28] ⚠ 9285 status 403
[18:28:28] ⚠ 3896 status 403
[18:28:28] ⚠ 1037517 status 403
[18:28:28] ⚠ 1088811 status 403
