[00:02:33] 📍 Loaded 563 district venues
[00:02:33] 🚀 DISTRICT SCRAPER STARTED
[00:02:38] ⚠ 1037345 status 403
[00:02:38] ⚠ 1037532 status 403
[00:02:39] ⚠ 9350 status 403
[00:02:39] ⚠ 1040731 status 403
[00:02:39] ⚠ 14166 status 403
[00:02:39] ⚠ 1039272 status 403
[00:02:39] ⚠ 1041505 status 403
[00:02:39] ⚠ 36879 status 403
[00:02:39] ⚠ 4036 status 403
[00:02:39] ⚠ 1005797 status 403
[00:02:39] ⚠ 4733 status 403
[00:02:39] ⚠ 9474 status 403
[00:02:39] ⚠ 1008404 status 403
[00:02:39] ⚠ 4272 status 403
[00:02:39] ⚠ 1042439 status 403
[00:02:39] ⚠ 1012081 status 403
[00:02:39] ⚠ 5058 status 403
[00:02:39] ⚠ 9132 status 403
[00:02:39] ⚠ 1015442 status 403
[00:02:39] ⚠ 1041496 status 403
[00:02:39] ⚠ 1036772 status 403
[00:02:39] ⚠ 1037514 status 403
[00:02:39] ⚠ 7137 status 403
[00:02:39] ⚠ 1016381 status 403
[00:02:39] ⚠ 51499 status 403
[00:02:39] ⚠ 1041473 status 403
[00:02:39] ⚠ 18460 status 403
[00:02:39] ⚠ 7679 status 403
[00:02:39] ⚠ 27219 status 403
[00:02:39] ⚠ 7618 status 403
[00:02:39] ⚠ 16522 status 403
[00:02:39] ⚠ 9136 status 403
[00:02:39] ⚠ 1037510 status 403
[00:02:39] ⚠ 4051 status 403
[00:02:39] ⚠ 1020547 status 403
[00:02:39] ⚠ 1020453 status 403
[00:02:39] ⚠ 5145 status 403
[00:02:39] ⚠ 1041242 status 403
[00:02:39] ⚠ 1041458 status 403
[00:02:39] ⚠ 1041393 status 403
[00:02:39] ⚠ 1075745 status 403
[00:02:39] ⚠ 1084553 status 403
[00:02:39] ⚠ 1015286 status 403
[00:02:39] ⚠ 9384 status 403
[00:02:39] ⚠ 1037531 status 403
[00:02:39] ⚠ 3965 status 403
[00:02:39] ⚠ 9174 status 403
[00:02:39] ⚠ 1039840 status 403
[00:02:39] ⚠ 1032461 status 403
[00:02:39] ⚠ 7232 status 403
[00:02:39] ⚠ 1032460 status 403
[00:02:39] ⚠ 25571 status 403
[00:02:39] ⚠ 55466 status 403
[00:02:39] ⚠ 26281 status 403
[00:02:39] ⚠ 25045 status 403
[00:02:39] ⚠ 9194 status 403
[00:02:39] ⚠ 1037491 status 403
[00:02:39] ⚠ 1037527 status 403
[00:02:39] ⚠ 30784 status 403
[00:02:39] ⚠ 1003767 status 403
[00:02:39] ⚠ 1037503 status 403
[00:02:39] ⚠ 1041239 status 403
[00:02:39] ⚠ 19513 status 403
[00:02:39] ⚠ 1016383 status 403
[00:02:39] ⚠ 1007282 status 403
[00:02:39] ⚠ 55853 status 403
[00:02:39] ⚠ 9285 status 403
[00:02:39] ⚠ 9246 status 403
[00:02:39] ⚠ 25181 status 403
[00:02:39] ⚠ 1029684 status 403
[00:02:39] ⚠ 1035744 status 403
[00:02:39] ⚠ 3896 status 403
[00:02:39] ⚠ 18164 status 403
[00:02:39] ⚠ 5182 status 403
[00:02:39] ⚠ 62250 status 403
[00:02:39] ⚠ 1015975 status 403
[00:02:39] ⚠ 1037517 status 403
[00:02:39] ⚠ 1037516 status 403
[00:02:39] ⚠ 1088811 status 403
[00:02:39] ⚠ 1037521 status 403
[00:02:39] ⚠ 1042605 status 403
[00:02:39] ⚠ 1012280 status 403
[00:02:39] ⚠ 1041804 status 403
[00:02:39] ⚠ 4889 status 403
[00:02:39] ⚠ 5150 status 403
[00:02:39] ⚠ 1020338 status 403
[00:02:39] ⚠ 7293 status 403
[00:02:40] ⚠ 14354 status 403
[00:02:40] ⚠ 1056892 status 403
[00:02:40] ⚠ 1032901 status 403
[00:02:40] ⚠ 5220 status 403
[00:02:40] ⚠ 1040181 status 403
[00:02:40] ⚠ 16523 status 403
[00:02:40] ⚠ 1047917 status 403
[00:02:40] ⚠ 4780 status 403
[00:02:40] ⚠ 6119 status 403
[00:02:40] ⚠ 1041199 status 403
[00:02:40] ⚠ 1052727 status 403
[00:02:40] ⚠ 1041683 status 403
[00:02:40] ⚠ 1036383 status 403
[00:02:40] ⚠ 4910 status 403
[00:02:40] ⚠ 4919 status 403
[00:02:40] ⚠ 1084822 status 403
[00:02:40] ⚠ 1050804 status 403
[00:02:40] ⚠ 1041732 status 403
[00:02:40] ⚠ 1033177 status 403
[00:02:40] ⚠ 29954 status 403
[00:02:40] ⚠ 7826 status 403
